CCN,PC1_T,PC1_M,PC1_B,PC1_L,CW2_T,CW2_M,CW2_B,CW2_L,OR_T,OR_M,OR_B,OR_L,PWR_T,PWR_M,PWR_B,PWR_L,footnotes,Sample,Comp,RR,Start,End
01C0001035,,,,,,,,,,,,,,,,,4,,,,,
02C0001011,,,,,,,,,,,,,,,,,4,,,,,
03C0001016,97,3,0,98,87,11,2,92,87,11,2,94,83,15,2,93,,910,245,27,10/1/2016,9/30/2017
03C0001045,97,2,1,98,90,7,3,94,84,12,4,93,80,17,3,92,,954,181,19,10/1/2016,9/30/2017
03C0001052,96,4,0,98,90,8,2,94,83,14,3,93,79,19,2,92,,1166,455,39,10/1/2016,9/30/2017
03C0001056,97,2,1,98,88,10,2,93,83,14,3,93,82,17,1,93,,1103,365,33,10/1/2016,9/30/2017
03C0001224,,,,,,,,,,,,,,,,,4,,,,,
03C0001247,97,2,1,98,89,9,2,94,85,14,1,94,78,19,3,91,,1023,266,26,10/1/2016,9/30/2017
03C0001265,97,2,1,98,89,9,2,93,84,14,2,94,86,13,1,95,,1168,272,23,10/1/2016,9/30/2017
03C0001279,97,3,0,98,92,6,2,95,90,8,2,95,88,10,2,95,,1271,376,30,10/1/2016,9/30/2017
03C0001289,,,,,,,,,,,,,,,,,4,,,,,
03C0001290,,,,,,,,,,,,,,,,,4,,,,,
03C0001298,,,,,,,,,,,,,,,,,4,,,,,
03C0001302,95,4,1,97,90,7,3,93,84,11,5,93,80,13,7,90,,1076,277,26,10/1/2016,9/30/2017
03C0001305,98,2,0,99,90,8,2,94,88,10,2,95,85,14,1,94,,1362,456,33,10/1/2016,9/30/2017
03C0001356,93,5,2,96,87,11,2,92,84,14,2,94,81,16,3,92,,1174,289,25,10/1/2016,9/30/2017
03C0001357,96,4,0,98,92,6,2,95,87,11,2,94,83,15,2,93,,1192,288,24,10/1/2016,9/30/2017
05C0001001,95,4,1,97,88,9,3,92,84,12,4,93,83,14,3,92,,1215,392,32,10/1/2016,9/30/2017
05C0001006,,,,,,,,,,,,,,,,,4,,,,,
05C0001016,98,1,1,98,93,5,2,96,90,8,2,96,89,9,2,95,,1248,407,33,10/1/2016,9/30/2017
05C0001092,98,2,0,99,91,7,2,95,87,11,2,95,88,10,2,95,,1638,429,26,10/1/2016,9/30/2017
05C0001133,98,2,0,99,94,5,1,97,92,6,2,96,90,7,3,95,,1281,415,32,10/1/2016,9/30/2017
05C0001175,,,,,,,,,,,,,,,,,4,,,,,
05C0001200,98,2,0,99,93,6,1,96,87,11,2,95,87,11,2,95,,972,430,44,10/1/2016,9/30/2017
05C0001205,,,,,,,,,,,,,,,,,4,,,,,
05C0001236,97,3,0,98,92,7,1,95,88,10,2,95,87,11,2,95,,1338,404,30,10/1/2016,9/30/2017
05C0001321,95,5,0,97,86,11,3,91,81,16,3,93,82,15,3,93,,1279,415,32,10/1/2016,9/30/2017
05C0001370,96,3,1,98,87,9,4,92,84,13,3,93,82,15,3,93,,1053,380,36,10/1/2016,9/30/2017
05C0001447,95,4,1,97,88,9,3,93,86,12,2,94,85,13,2,94,,1289,359,28,10/1/2016,9/30/2017
05C0001453,94,5,1,96,88,8,4,92,82,14,4,92,83,14,3,93,,1017,350,34,10/1/2016,9/30/2017
05C0001463,,,,,,,,,,,,,,,,,4,,,,,
05C0001481,96,3,1,98,92,6,2,95,87,10,3,94,83,14,3,93,,1253,367,29,10/1/2016,9/30/2017
05C0001505,,,,,,,,,,,,,,,,,4,,,,,
05C0001508,,,,,,,,,,,,,,,,,4,,,,,
05C0001515,,,,,,,,,,,,,,,,,4,,,,,
05C0001534,97,3,0,98,90,8,2,94,88,10,2,95,87,12,1,95,,1235,411,33,10/1/2016,9/30/2017
